Club,Stadium,Stadium City,TotalWins,Year,,,,,,,,,,,,
Al Ittihad,King Abdullah Sports City, Jeddah,,,,,,,,,,,,,," Jeddah	9	2019/20"
Damac,Prince Sultan bin Abdulaziz Sports City Stadium, Abha,9,2019/20,,,,,,,,,,,,
Al Fateh,Prince Abdullah Bin Jalawi Stadium, Al Ahsa,8,2019/20,,,,,,,,,,,,
Al Fayha,Al Majma’a Sport City Stadium, Al Majma'ah,8,2019/20,,,,,,,,,,,,
Al Hazem,Al Hazem Club Stadium, Al Rass,7,2019/20,,,,,,,,,,,,
Al Adalah,Prince Abdullah Bin Jalawi Stadium, Al Ahsa,4,2019/20,,,,,,,,,,,,
Al Nassr,Prince Faisal bin Fahd Stadium, Riyadh,21,2018/19,,,,,,,,,,,,
Al Hilal,Al Awwal Park at King Saud University, Riyadh,20,2018/19,,,,,,,,,,,,
Al Ahli,King Abdullah Sports City, Jeddah,,,,,,,,,,,,,," Jeddah	17	2018/19"
Al Shabab,Al Shabab Club Stadium, Riyadh,15,2018/19,,,,,,,,,,,,
Al Taawoun,King Abdullah Sport City Stadium, Buraidah,15,2018/19,,,,,,,,,,,,
Al Faisaly,Al Majma’a Sport City Stadium, Al Majma'ah,12,2018/19,,,,,,,,,,,,
Al Wehda,King Abdulaziz Sports City Stadium, Mecca,12,2018/19,,,,,,,,,,,,
Al Raed,King Abdullah Sport City Stadium, Buraidah,10,2018/19,,,,,,,,,,,,
Al Fayha,King Fahd Stadium, Riyadh,9,2018/19,,,,,,,,,,,,
Al Ittihad,King Abdullah Sports City, Jeddah,,,,,,,,,,,,,," Jeddah	9	2018/19"
Al Ettifaq,Prince Mohammed Bin Fahd Stadium, Dammam,8,2018/19,,,,,,,,,,,,
Al Qadsiah,Prince Saud Bin Jalawi Stadium, Khobar,8,2018/19,,,,,,,,,,,,
Al Batin,Al Batin Stadium, Hafar Al-Batin,7,2018/19,,,,,,,,,,,,
Al Fateh,Prince Abdullah Bin Jalawi Stadium, Al Ahsa,7,2018/19,,,,,,,,,,,,
Al Hazem,Al Hazem Club Stadium, Al Rass,7,2018/19,,,,,,,,,,,,
Ohod,TBC, TBC,5,2018/19,,,,,,,,,,,,
